Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Pendik , Fevzi Çakmak Mahallesi,120,3+1,3,Kombi Doðalgaz,Boþ,Daire,130,25,5,Hayýr,15000
Pendik , Fevzi Çakmak Mahallesi,90,2+1,2,Kombi Doðalgaz,Boþ,Daire,100,15,5,Hayýr,18000
Pendik , Orhangazi Mahallesi,120,3+1,0,Kombi Doðalgaz,Boþ,Daire,130,15,5,Hayýr,16000
Pendik , Ahmet Yesevi Mahallesi,90,2+1,7,Kombi Doðalgaz,Boþ,Daire,100,4,8,Hayýr,15000
Pendik , Kaynarca Mahallesi,90,2+1,5,Kombi Doðalgaz,Boþ,Daire,110,10,7,Hayýr,34000
Pendik , Kavakpýnar Mahallesi,73,2+1,2,Kombi Doðalgaz,Boþ,Daire,90,0,7,Hayýr,21000
Pendik , Çýnardere Mahallesi,75,2+1,6,Kombi Doðalgaz,Boþ,Daire,85,10,6,Hayýr,19000
Pendik , Çýnardere Mahallesi,75,2+1,5,Kombi Doðalgaz,Boþ,Daire,90,10,6,Hayýr,19500
Pendik , Batý Mahallesi,110,3+1,5,Kombi Doðalgaz,Boþ,Daire,125,25,6,Hayýr,19500
Pendik , Orta Mahallesi,75,2+1,4,Kombi Doðalgaz,Hayýr,Daire,80,15,4,Boþ,18000
Pendik , Fevzi Çakmak Mahallesi,80,1+1,0,Kombi Doðalgaz,Boþ,Daire,88,25,5,Hayýr,7250
Pendik , Fevzi Çakmak Mahallesi,95,2+1,1,Kombi Doðalgaz,Boþ,Daire,110,10,4,Hayýr,20000
Pendik , Kavakpýnar Mahallesi,90,2+1,2,Kombi Doðalgaz,Boþ,Daire,100,25,5,Hayýr,13500
Pendik , Yeniþehir Mahallesi,56,1+1,8,Merkezi (Pay Ölçer),Boþ,Daire,71,10,8,Hayýr,18000
Pendik , Þeyhli Mahallesi,85,2+1,2,Kombi Doðalgaz,Boþ,Daire,100,10,3,Hayýr,20000
Pendik , Kaynarca Mahallesi,120,35+1,5,Kombi Doðalgaz,Hayýr,Daire,130,1,9,Boþ,30000
Pendik , Velibaba Mahallesi,110,3+1,5,Kombi Doðalgaz,Boþ,Daire,130,15,9,Hayýr,25000
Pendik , Velibaba Mahallesi,110,3+1,3,Kombi Doðalgaz,Boþ,Daire,130,15,9,Hayýr,23000
Pendik , Sapan Baðlarý Mahallesi,100,3+1,8,Kombi Doðalgaz,Boþ,Daire,120,10,8,Hayýr,20500
Pendik , Güzelyalý Mahallesi,80,2+1,1,Kombi Doðalgaz,Boþ,Daire,100,20,5,Hayýr,16500
Pendik , Dumlupýnar Mahallesi,121,3+1,3,Kombi Doðalgaz,Boþ,Daire,130,10,3,Hayýr,15000
Pendik , Kavakpýnar Mahallesi,85,2+1,3,Kombi Doðalgaz,Boþ,Daire,100,25,4,Hayýr,13000
Pendik , Kavakpýnar Mahallesi,85,2+1,2,Kombi Doðalgaz,Boþ,Daire,100,25,4,Hayýr,13000
Pendik , Kaynarca Mahallesi,140,4+1,3,Kombi Doðalgaz,Boþ,Daire,165,20,3,Hayýr,18000
Pendik , Harmandere Mahallesi,125,3+1,4,Kombi Doðalgaz,Boþ,Daire,130,10,9,Hayýr,22000
Pendik , Ahmet Yesevi Mahallesi,100,3+1,2,Kombi Doðalgaz,Boþ,Daire,110,25,4,Hayýr,14000
Pendik , Batý Mahallesi,110,2+1,1,Kombi Doðalgaz,Boþ,Daire,130,25,5,Hayýr,14000
Pendik , Kurtköy Mahallesi,100,2+1,0,Kombi Doðalgaz,Eþyalý,Daire,120,10,6,Hayýr,22000
Pendik , Velibaba Mahallesi,70,15+1,4,Kombi Doðalgaz,Eþyalý,Daire,85,15,5,Hayýr,20000
Pendik , Esenyalý Mahallesi,115,2+1,3,Merkezi Doðalgaz,Eþyalý,Daire,120,15,3,Hayýr,14500
Pendik , Batý Mahallesi,110,3+1,5,Kombi Doðalgaz,Eþyalý,Daire,125,25,5,Hayýr,20000
Pendik , Þeyhli Mahallesi,75,1+1,2,Kombi Doðalgaz,Eþyalý,Daire,85,15,5,Hayýr,18000
Pendik , Kurtköy Mahallesi,100,2+1,0,Kombi Doðalgaz,Eþyalý,Daire,120,10,6,Hayýr,22000
Pendik , Batý Mahallesi,100,3+1,1,Merkezi Doðalgaz,Boþ,Daire,125,0,6,Hayýr,33000
